"ID","statistic","p.value"
"AASS",3.459503,0.000131457589119366
"ABCB8",1.7664635,2.00681501418831e-05
"ABCC11",1.1988769155,0.000199674689691398
"ABCG8",2.0925945,0.000649010658895555
"ABI1",1.094426617,9.35670594583993e-05
"ACAA1",1.1213583015,0.000498312067551687
"ACOT6",1.026476,0.00129867693956431
"ACRV1",1.043202,0.000650561119961091
"ACTB",1.21430014,0.000959723505019827
"ACTN1",1.7558285,0.00127018964107395
"ACTR1A",1.147072918,0.000960646081142214
"ACTRT2",0.904949,0.00123547448378047
"ACTRT3",1.6851705,0.00106546499758053
"ADAM15",2.0397905025,0.000784272967032762
"ADAM2",0.931268,0.000183183568125633
"ADAM20",1.640193,0.00168492138895593
"ADAM21",1.207951452,0.00167993950583256
"ADAM32",1.5965407835,0.000461556125331164
"ADAM3A",1.1314835,0.002148032648847
"ADAM6",1.268981,0.00179329145198093
"ADAMTSL2",1.7814125,0.000848383908753858
"ADAMTSL3",0.9519109455,0.00240967116059776
"ADAT3",2.1192157135,0.00189161805505123
"ADCK3",1.5301075,1.24684905908889e-05
"ADCY10P1",1.6048415,0.0019082812263953
"ADH4",1.0459795,0.00249852257963235
"ADORA2A",0.732267318000001,0.000502302853493397
"ADPGK",1.0500245,0.000577099561855698
"ADRA2B",1.652336,0.00306096151446567
"ADRA2C",0.8673375,0.00078473583302463
"ADRBK1",1.0931485545,0.000228836592534476
"ADRBK2",0.745991795499999,0.000347213408478986
"ADSS",1.3432045,0.0027905107573063
"AEBP1",3.5516674085,0.000192343542900097
"AEN",1.55327,0.00128365392432161
"AFF1",0.9707404825,0.00280985205061557
"AGAP3",1.7041745,0.00324888950553159
"AGER",5.550366,0.00156750107804227
"AGPAT2",2.66912,0.00213072893789112
"AGPAT3",1.878745,0.00339464622154595
"AGPAT6",1.91162,0.000749558157447927
"AGR3",5.846442,0.00207798843372986
"AGRP",2.000927,0.0022781471581772
"AGXT2",1.4547045,0.00144694556345804
"AHCYL2",3.4632505,3.32404712819478e-05
"AIFM3",1.0778295,0.00322277650400116
"AIPL1",1.9561265,0.00280310617288837
"AKAP13",2.294288,0.00176783264903713
"AKAP2",1.016078728,0.00134279478910804
"AKAP5",2.0290005,0.00179192710696041
"AKAP8",1.9292678435,0.00238220933306366
"AKAP9",1.268127,0.00428227757893396
"AKR1C4",0.8246985,0.00468311942179089
"AKR7A2",1.585052428,0.00156602804866601
"AKR7A3",1.742934,0.00316918085257278
"AKT1",1.654871,0.000105030006011031
"AKT1S1",2.722215473,0.00373565863679559
"ALDH16A1",2.328811,0.000685337763830951
"ALDH18A1",2.6629115,0.00128455199421906
"ALDH1A2",1.2171955,0.00467315408075941
