"ID","statistic","p.value"
"A1BG",190.336935969483,0
"A1CF",6.7689093816199,3.65279301671504e-11
"A2M",11.7201158843813,3.4239477466898e-28
"A2ML1",8.8608998029984,1.40145514676886e-17
"A4GALT",13.3367876203698,6.39016878026302e-35
"A4GNT",14.7452617561023,4.177983077163e-41
"AAAS",56.6202416123507,2.24757271052762e-219
"AACS",6.92104496326066,1.38273282953929e-11
"AADAC",10.5589093753286,1.16756652867887e-23
"AADACL2",8.00726411033079,8.31472906416794e-15
"AADAT",40.3140277011308,4.47013140594084e-159
"AAED1",390.317968594407,0
"AAK1",21.6193423637818,1.2284951548375e-73
"AAMDC",25.020712683919,3.88441710101014e-90
"AAMP",53.9955094119775,1.5751578852324e-210
"AANAT",4.08330734186497,5.17059908795362e-05
"AAR2",17.3442473555521,4.39247843935867e-53
"AARS",160.957339904474,0
"AARS2",7.74331761761217,5.4361482394698e-14
"AASDH",5.09565767746355,4.93906536856123e-07
"AASDHPPT",58.6928365748845,3.76614135242014e-226
"AASS",64.4747906179385,3.83765912368283e-244
"AATF",10.963953466134,3.29543557600186e-25
"AATK",22.0685173088414,8.06521267790181e-76
"ABCA1",9.50506028505025,8.39255694115869e-20
"ABCA12",840.152995262538,0
"ABCA13",10.2332110293481,1.93599068106007e-22
"ABCA2",15.1276658149998,7.92939984351049e-43
"ABCA3",57.274311480525,1.56278184534845e-221
"ABCA4",10.3941055633237,4.86858895452558e-23
"ABCA6",7.05616674442453,5.75249815696428e-12
"ABCA7",72.189707265562,2.89140024044636e-266
"ABCA9",62.5047315976931,3.71147900991501e-238
"ABCB10",-6.20835979770111,1.1276289024931e-09
"ABCB4",-9.8566107925127,4.64142644472058e-21
"ABCB5",26.9210017350127,2.90698591162381e-99
"ABCB6",3.69234620438617,0.000246701715192417
"ABCB8",304.83912619123,0
"ABCC1",38.0928691194091,8.4197890780683e-150
"ABCC10",19.4993042797604,2.27490950735044e-63
"ABCC11",53.0825844889571,2.21732751595201e-207
"ABCC12",8.47278308375487,2.70805870876171e-16
"ABCC13",9.0026822247887,4.64120180299863e-18
"ABCC2",8.80661048895162,2.13272454878676e-17
"ABCC3",24.3608273008243,6.01670859273784e-87
"ABCC4",21.0005948913019,1.24119914125714e-70
"ABCC5",12.6382522591047,5.84793572556025e-32
"ABCC6",9.46049374019908,1.2053000510525e-19
"ABCC8",26.9216856447436,2.8852135006453e-99
"ABCC9",11.7941043629998,1.72420017936548e-28
"ABCD1",78.6448987983268,2.50390992295345e-283
"ABCD2",11.3242880440197,1.28979491124556e-26
"ABCD3",-150.957811383889,0
"ABCD4",50.2629333856447,2.05950572152627e-197
"ABCE1",7.01281546705761,7.63280707363233e-12
"ABCF1",93.3406984451272,4.37062327886667e-318
"ABCF2",312.503696638144,0
"ABCF3",26.8983390369252,3.72943433786861e-99
"ABCG2",63.6570179900937,1.12479238998625e-241
"ABCG4",21.5702172888563,2.1283083255807e-73
"ABCG5",30.1191018571599,2.44775407547988e-114
"ABCG8",133.962949728278,0
"ABHD1",6.48493949078802,2.13851309700973e-10
"ABHD10",29.0052657987966,3.90865392749594e-109
"ABHD11",8.32281653755264,8.28824935699367e-16
"ABHD12",27.6810518050942,6.99687024957719e-103
"ABHD12B",5.01578480850757,7.3544019890803e-07
"ABHD13",3.84720524713427,0.00013496484419532
"ABHD14A",16.0686884990486,3.9562611068244e-47
"ABHD14B",16.5682326865832,1.90728500049418e-49
"ABHD15",6.67997348708028,6.39453515532882e-11
"ABHD16A",23.2258123870729,1.91950462064149e-81
"ABHD16B",5.80099424748839,1.17187626054929e-08
"ABHD17A",8.15653319440499,2.8164716508017e-15
"ABHD17B",14.0715605582283,4.09193372717573e-38
"ABHD17C",10.7803439163757,1.67739223847646e-24
"ABHD2",9.00431852886302,4.58205501974682e-18
"ABHD4",256.350734295794,0
"ABHD5",27.7508899699722,3.26169136496169e-103
"ABHD6",-82.3517182235763,1.35003202465215e-292
"ABHD8",8.18889629298867,2.22294431836444e-15
"ABI1",74.6739159907638,5.61098519443468e-273
"ABI2",57.291951867972,1.36758082672261e-221
"ABI3BP",46.1114137803072,4.90610085019244e-182
"ABL1",14.4547451691543,8.27251308652121e-40
"ABL2",5.65928536210828,2.56605629362542e-08
"ABLIM1",24.0699937240428,1.54134229413338e-85
"ABLIM2",7.62858559761123,1.21148211318891e-13
"ABLIM3",36.8731005479365,1.35814962799513e-144
"ABO",11.9516859653088,3.96837247161226e-29
"ABR",174.180995600965,0
"ABTB1",6.53597321660277,1.56357878251066e-10
"ABTB2",3.91828058681295,0.000101619936040534
"ACAA1",43.9126881852117,1.54570410056082e-173
"ACAA2",33.0801302304462,6.87137295230973e-128
"ACACA",40.5335901072391,5.59822705337034e-160
"ACACB",20.6254791674273,8.1847142773899e-69
"ACAD10",53.0524550956441,2.82089401205378e-207
"ACAD8",116.564551402727,0
"ACAD9",42.3837695284478,1.77149498080886e-167
"ACADL",52.0562861813848,8.52879111310734e-204
"ACADM",-6.4601165448674,2.48856953985935e-10
"ACADS",4.65281783293837,4.20047934976377e-06
"ACADSB",8.04082216357588,6.52699483701436e-15
"ACADVL",43.6456521689034,1.73171083286932e-172
"ACAN",9.05423155598868,3.09608218626187e-18
"ACAP3",10.2306453556589,1.97886032284323e-22
"ACAT1",9.13749005573852,1.60462916079966e-18
"ACAT2",11.9752048353886,3.18420414335788e-29
"ACBD3",12.0182745156488,2.1264071863291e-29
"ACBD4",4.86048388595007,1.57097491098508e-06
"ACBD5",5.44646072389218,8.07933454288042e-08
"ACBD6",28.1284306995377,5.30571015243656e-105
"ACCS",677.517785316964,0
"ACD",23.4281676796835,1.9987484619467e-82
"ACE",33.2576140021599,1.09282717426863e-128
"ACE2",5.19988323041028,2.91472337376656e-07
"ACER3",25.756987817677,1.10048234301365e-93
"ACHE",8.63437488648306,7.98360096629812e-17
"ACIN1",31.0982436914182,7.25747235065585e-119
"ACKR1",82.5936964353994,3.45042087510337e-293
"ACKR2",7.62554163339174,1.23736221348955e-13
"ACKR3",11.1129074440553,8.69695687304682e-26
