"ID","statistic","p.value"
"AASDHPPT",-52.8618750240156,0.000449719170714856
"ABCB5",-28.3417259880589,0.00132284096361263
"ABCB8",-223.223437913739,0.000110407956179863
"ABCC11",-70.7576572360947,0.00335462688230751
"ABCC8",-22.2154633852703,0.00319527592077245
"ABI1",-103.373216814595,0.00419135653720333
"ACAA1",-44.7802939308857,0.000503327916446317
"ACACB",-15.4910979067014,0.00822236923873126
"ACADVL",-24.4439194781907,0.00918913742630601
"ACBD3",-14.0336220022691,0.00810340874056137
"ACBD6",-22.8438561948917,0.00322058552852043
"ACD",-16.0780753615187,0.0100949398158309
"ACER3",-23.9542300745761,0.00190328412155634
"ACMSD",-12.8706291137577,0.00894109532434328
"ACOT6",-27.7220989047257,0.00975073267986218
"ACOX1",-9.35152908819883,0.0124379747162235
"ACOXL",-10.5356733069651,0.00889023372957847
"ACPP",-24.4190512482202,0.00665407205777213
"ACRV1",-39.1871758624706,0.00767245618356056
"ACSF3",-8.26964460603794,0.014574710802079
"ACSL1",-18.1287034377714,0.0152531234778742
"ACSM5",-11.4834704425485,0.0180221944071936
"ACTB",-32.2562708539209,0.00711555791316782
"ACTG2",-19.4208475714962,0.00284577278949942
"ACTL8",-9.72908216294236,0.0108497725084122
"ACTL9",-9.62572327654832,0.0133665083778871
"ACTN1",-28.0318449697102,0.019020493625891
"ACTR10",-19.5028433292105,0.0064618653346096
"ACTR1A",-32.2407558150071,0.00726400948979129
"ACTR3B",-14.6115960705514,0.0079043667507778
"ACTRT2",-28.4236861915855,0.016888868112445
"ACTRT3",-30.6113967689615,0.0206438763138216
"ACVR2B",-12.0660194913695,0.0088065596815448
"ACYP2",-8.53842696137423,0.016118759127243
"ADAD2",-18.0884981292695,0.00306046197866389
"ADAM15",-35.6870628877746,0.0161885341964101
"ADAM18",-8.02161548855917,0.0165877536560938
"ADAM2",-73.8749278690002,0.00108428946791965
"ADAM20",-24.331048486799,0.0163424229763394
"ADAM21",-24.3671900296058,0.00647330538413075
"ADAM23",-13.315824232152,0.00930242398526119
"ADAM32",-46.5304616736453,0.00086967891390567
"ADAM5",-6.71816324408221,0.021446221402303
"ADAM6",-23.5824996449025,0.00503090388570519
"ADAMTS14",-7.77495040844306,0.0168952009698162
"ADAMTS4",-6.90847932018716,0.0219470865153889
"ADAMTS8",-16.4079302658264,0.0210288309298798
"ADAMTSL1",-8.28656486307789,0.0146001330066158
"ADAMTSL2",-34.310521211658,0.0142686378308997
"ADAMTSL3",-20.3345761595005,0.00363929740899307
"ADAMTSL5",-18.0086962740654,0.00307574345017884
"ADAR",-10.6744294791415,0.00896456730091921
"ADARB2",-18.3135892269156,0.0254352531563161
"ADAT3",-22.9597129698777,0.0235637062751032
"ADCK3",-283.197227813984,3.81520155123179e-05
"ADCK4",-7.87672116571787,0.0214072185672394
"ADCY10P1",-22.8589643998595,0.0123614421403138
"ADCY8",-14.465201530118,0.00966273601847548
"ADCYAP1",-9.43270183933547,0.0229161006781773
"ADGB",-13.5569057968436,0.00742624957001789
"ADH4",-19.9684038533558,0.0149974316542528
"ADNP2",-8.42740582293473,0.0292225786656132
"ADORA2A",-44.6019163512687,0.0116475467312105
"ADORA2A-AS1",-14.4089958263471,0.00487276010517692
"ADPGK",-41.6089341443519,0.0151600243105318
"ADPRH",-7.56592400477298,0.0240494531856584
"ADPRHL1",-10.2819985538635,0.0107750679510658
"ADRA2B",-18.0331776978056,0.00380804130314488
"ADRA2C",-35.6765241692551,0.00503778171279141
"ADRB1",-7.21501532517477,0.0342137535835503
"ADRBK1",-66.0941036277151,0.00068601805781307
"ADRBK2",-53.6523363273831,0.00626547986992479
"ADRM1",-12.3713656039503,0.0189986395467092
"ADSS",-18.8906864412023,0.0144021357253219
"ADTRP",-13.2087729793043,0.0163113073635576
"AEBP1",-72.0939028542502,0.00808331161460481
"AEN",-27.8841620083778,0.00802145151741879
"AFF1",-18.8252842628997,0.00281086855791492
"AFF4",-10.807803332784,0.0099305326335522
"AFG3L1P",-7.39349432544245,0.0178447092486547
"AFM",-8.74083877063687,0.012949608526039
"AFMID",-13.2485576248609,0.00583224482507672
"AGAP3",-17.5013797382758,0.0196313319316251
"AGBL1",-12.8603579703507,0.0243452584875946
"AGBL2",-11.8791601701784,0.0197406731890939
"AGBL4",-8.54175515198167,0.0137119407124875
"AGBL5",-12.3233158546627,0.00798967132886065
"AGER",-25.2281288668964,0.0041033789223379
"AGK",-12.1219053694611,0.0067390799776949
"AGO2",-9.13411811333057,0.0333612092273722
"AGPAT2",-21.6292276232151,0.0251458314406378
"AGPAT3",-17.1196482791043,0.00608852871074705
"AGPAT6",-36.5050610421555,0.00321242926068719
"AGPAT9",-7.10674478428709,0.0221899203272323
"AGR2",-6.5718233642201,0.0397411912077239
"AGR3",-21.9028571747936,0.0214794998649819
