"ID","statistic","p.value"
"A1BG",8920,1.4573137606919e-05
"A1CF",9248.5,6.55925247583018e-07
"A4GALT",8565,0.000268907664910387
"AAAS",8946,1.16768922718872e-05
"AADACL2",8540,0.000325231718817305
"AAGAB",8453,0.000623338512796161
"AARS2",8507,0.000420219971421074
"AATK",8560.5,0.000282404836385655
"ABAT",10249,4.0587296081836e-12
"ABCA3",8949,1.13585654059217e-05
"ABCA4",8802.5,3.98086726115093e-05
"ABCA5",9082,3.33629013121138e-06
"ABCB11",8765.5,5.43084590723408e-05
"ABCB5",8739.5,6.73532227703822e-05
"ABCB6",8815,3.60141671198548e-05
"ABCB8",8489,0.00047523593667123
"ABCB9",8621.5,0.000176695397696185
"ABCC11",8735,7.00286868061674e-05
"ABCC12",8822.5,3.35862164949816e-05
"ABCC13",9032,5.32707026395764e-06
"ABCC2",9445,8.28402209759286e-08
"ABCC8",8775.5,5.01561340345043e-05
"ABCD1",8931.5,1.32955815617269e-05
"ABCF3",8400.5,0.000904688315680774
"ABCG1",4514,1.98709025964767e-05
"ABCG2",8370,0.00111784768682017
"ABCG4",8949,1.12143031907779e-05
"ABCG5",8723.5,7.7557126264617e-05
"ABCG8",9088,3.09757002023852e-06
"ABHD1",9051,4.37332454797553e-06
"ABHD12",8095,0.00648424593930886
"ABHD14A",8908,1.63784756832064e-05
"ABHD15",8475,0.000532168432900938
"ABHD16B",9050.5,4.36225659920452e-06
"ABHD17B",8997.5,7.24321198922596e-06
"ABHD17C",3778,1.17655199322268e-08
"ABHD6",8632,0.00016291642747449
"ABHD8",8865,2.36175739186607e-05
"ABI2",8036.5,0.00910677371866357
"ABI3",8779.5,4.93683517724801e-05
"ABLIM2",8595,0.000215930894551583
"ABO",8481,0.000502545741940661
"ABRA",8731,7.23656847215395e-05
"ABTB1",8420,0.000784381445498368
"ACAA1",8125,0.00542283497342225
"ACAA2",8713,8.52840090557952e-05
"ACACB",9578,1.92403410951432e-08
"ACAD10",8847,2.78438527826979e-05
"ACADL",9760,2.33600770162723e-09
"ACADS",8615.5,0.000184982375222333
"ACAN",8603,0.000200639460958737
"ACAP2",5343.5,0.00811928716064924
"ACAP3",8403.5,0.000885405765297055
"ACBD3",2950,2.49014275571611e-13
"ACBD4",8849.5,2.72574948386717e-05
"ACBD5",3547,7.55398786117104e-10
"ACE",8587,0.000228268766282772
"ACER1",9062,3.94429263500295e-06
"ACHE",8432,0.000719862766308947
"ACKR1",8419,0.000794503339840441
"ACKR2",8870,2.24383260229885e-05
"ACKR3",8894.5,1.80740636147982e-05
"ACO1",8512,0.000405854548253768
"ACOT11",8407,0.000853646396798629
"ACOT12",8603.5,0.000200486460649238
"ACOT6",8655,0.000133539459450337
"ACOX2",9341,2.54225775755184e-07
"ACP2",8063.5,0.00779722428094605
"ACPT",8998.5,7.25290192335453e-06
"ACR",9239,7.0439210512106e-07
"ACRBP",9335.5,2.68437189268508e-07
"ACRV1",8954.5,1.05933169382405e-05
"ACSBG1",8961,9.96739859768776e-06
"ACSBG2",8745.5,6.41030178385539e-05
"ACSF3",7940,0.0154160206729579
"ACSL5",3416,1.45755314218028e-10
"ACSM1",9244,6.76930406741317e-07
"ACSM2A",8100,0.00623505391096852
"ACSM2B",9053.5,4.24128557457053e-06
"ACSM3",9406,1.28119779373361e-07
"ACSM5",8372,0.00108927239805539
"ACSS1",9267.5,5.41259185201972e-07
"ACSS3",8454,0.000619201794093018
"ACTA2",4719,0.000110565176384613
"ACTA2-AS1",8177,0.00394549585064065
