ID	ctl1	ctl2	exp1	exp2
A1BG	4.993423	4.977204	7.43305	6.90336
A1CF	4.788285	4.417162	6.55653	6.20156
A2M	4.522844416	4.679697951	5.84409	5.95826
A2ML1	3.864138123	3.77194795	4.30235	4.48899
A4GALT	6.248286	6.375555	7.62884	7.39543
A4GNT	3.79185	3.644418	5.38021	5.13045
AAAS	7.074773	7.111483	8.76147	8.36427
AACS	7.044249	7.31823	8.9157	8.12846
AADAC	4.919541	4.580609	7.28695	7.27432
AADACL2	2.948224	2.757281	3.94185	3.92589
AADAT	5.272822	5.22031	6.66305	6.82393
AAED1	7.30061	7.295635	8.24701	9.0954
AAGAB	6.706988589	6.336868928	7.1965	7.04505
AAK1	8.660528636	8.755217556	10.1496	10.1612
AAMDC	2.925172	3.012622	4.5415	4.49068
AAMP	7.842152046	7.897233494	10.0266	9.91887
AANAT	3.120114	3.482163	4.30714	4.38585
AAR2	7.459464	7.580118	9.09713	8.90191
AARS	8.610402295	8.593379886	11.1661	9.91246
AARS2	6.124551	6.323191	7.31467	7.30832
AASDH	7.330621	7.393505	7.53834	7.63895
AASDHPPT	8.726604724	8.750237595	9.73354	9.70493
AASS	4.781556	4.857438	8.26742	8.29058
AATF	7.814182	8.015143	9.94419	9.00111
AATK	7.593128	7.685391	8.78986	9.36815
ABAT	5.183009	5.407019	5.60678	5.16569
ABCA1	3.808843019	4.019919385	5.09896	5.56713
ABCA11P	4.997318	5.632669	6.5608	7.23045
ABCA12	2.630186	2.628016	3.98246	3.85404
ABCA13	2.596239353	2.448893801	3.59386	3.58365
ABCA2	4.496889	4.343157	6.05966	6.06929
ABCA3	6.241923065	6.341963835	10.1594	10.5276
ABCA4	3.405984698	3.265763325	4.38845	4.34448
ABCA5	7.446926	7.777899	7.25753	7.61528
ABCA6	4.684934	4.258992	6.21939	6.97498
ABCA7	5.867244	5.911373	7.8579	8.42592
ABCA8	4.459872267	4.051797835	4.61636	4.87695
ABCA9	3.277421	3.297095	3.92926	4.38434
